113	5.8	12.3	7.7
114	7.4	17	8
115	9.2	19.7	9.1
116	5.3	14.2	8.1
117	4.6	9.8	8.5
118	9.2	19.8	8.5
119	9.2	36.8	8.5
120	8.3	18.3	8.3
121	12.1	23.6	10.7
122	10	19.9	7.6
123	9.1	20.9	8.2
124	10.9	24.4	9.3
125	9.5	20.4	8.5
126	11.8	23.7	10.2
127	9.5	22	10
128	8.7	19.7	10.2
129	8.4	19.8	10.1
130	9.8	24.7	10.9
131	11.3	22.1	9
132	7.1	16.4	9.8
133	11.1	23.8	8.2
134	6.7	15	9.6
135	11.3	23.9	9.7
136	12.4	25.9	11.5
137	19.7	36.3	22
138	13.3	23.3	16.5
139	25	50.1	21.1
140	10.5	19.7	22.1
141	37	36	18.2
142	9.6	21.8	9.8
143	4.7	8.4	9.2
144	12.1	26.5	11.2
145	11	23.4	9.9
146	8.7	21.8	10.6
147	13.9	29.2	13.4
148	10.7	23.8	9.9
149	12.6	29.1	12.5
150	6.2	15.8	10.4
151	10.4	23	9.4
152	10.3	23	9.2
153	4.5	11.8	9.9
154	14.7	39.9	13.9
155	9.9	26.3	12
156	10.6	23.8	10.5
157	8.7	20.3	9.3
158	10.2	22.3	10.3
159	12	26.6	11.4
160	9.5	23.7	11.5
161	5.3	16	10.7
162	7.1	16.4	10.1
163	5.5	16.4	10.7
164	12.1	27.9	11.9
165	13	41.8	11.5
166	10.1	26	11.5
167	10.4	27.5	12.4
168	13.1	28.8	13.5
169	13	29.8	12.9
170	13.3	31.3	11.7
171	13.8	30.7	13.7
172	12.7	29	14.2
173	14.3	33.3	15.2
174	15.9	36.9	15.5
175	5.7	15.4	12.2
176	8.4	24.8	12.9
177	14.8	35.3	13.1
178	10.6	26.1	13.3
179	17.5	39.4	15.7
180	13	30.6	15.5
181	10.6	27.6	19
182	13.1	37	17.9
183	11.6	26.1	14.9
184	17.4	43	15.9
185	13.8	31.2	16.1
186	19.5	44.2	17.1
187	14.4	42.6	15.9
188	12.2	29.8	18.8
189	15.7	35.2	16.8
190	10.5	28	14.2
191	1.7	4.2	15
192	19.1	51.8	18.8
193	15.7	45.4	19
194	18.9	44.2	15.7
195	18.5	43.2	17.4
196	25.5	44	18.7
197	23.4	55	20.8
198	26.4	62.5	23.4
199	22.2	54.2	18.4
200	16.9	45.7	25.5
201	12.5	33.6	16.8
202	19.6	53.8	21
203	16.5	50.3	18.6
204	16.8	46.7	19.3
205	17.5	48.7	19.4
206	16.5	45.3	22.2
207	16.8	47.7	19.2
208	28	66	23.5
209	21.9	47.9	19.9
210	18.9	52.9	21.6
211	17.5	48.8	25.7
212	19.2	53.5	21.3
213	17.3	49.7	19.8
214	19.2	55.3	21.4
215	17.7	48.6	19.7
216	9.9	35.5	23.5
217	19.2	53.4	21.8
218	19.5	54.3	22.6
219	20.7	48.3	19.9
220	20.1	54.4	22
221	18.7	50.5	24.3
222	20.6	57.3	23.1
223	21.3	58.7	27.3
224	19.7	55.2	22.6
225	18.5	51	24.4
226	20.7	58.4	23.6
227	11.5	42.3	22.6
228	22.6	56.8	24
229	26.3	62.1	21.1
230	17.5	50.6	21
231	18.4	52.3	25.4
232	12.5	41.6	20.1
233	16.3	47.1	22.1
234	27.2	65.7	21.9
235	31.5	72.7	26.1
236	29.4	70.4	26.8
237	31.9	70.2	26.7
238	7.3	33.2	22.6
239	35.3	82.6	29.1
240	36.9	76.5	28.6
241	39.9	87.4	30.2
242	32.3	80.3	27.8
243	28.6	73.3	27
244	35.8	80.3	35
245	48.4	103.4	37.7
246	45	95.1	37.2
247	39.3	100.7	34.6
248	46.7	106.5	42.7
249	31.5	79.4	36
250	37.6	103.3	35.9
251	49.6	123.4	40.4
252	52.8	136.3	71.9
253	62.5	154.6	59.3
254	44.2	138.3	63
255	69.9	164.7	62.1
256	51	154.2	77.4
257	97.1	210.9	77.8
258	82.3	198.4	81.5
259	102.9	219	77.9
260	113.7	289.1	98.9
